relation,nucleus,satellite,question,answer,distractor1,distractor2,distractor3
Cause,"By January 2023, it had become what was then the fastest - growing consumer software application in history,",gaining over 100 million users and contributing to the growth of OpenAI's current valuation of $ 86 billion.,Why was ChatGPT credited with driving the growth of OpenAI's current valuation?,"By January 2023, it had become what was then the fastest - growing consumer software application in history.",It was released as a freely available research preview.,It was integrated into the Apple Intelligence feature of Apple operating systems.,It was based on GPT - 4.
Cause,"ChatGPT is credited with starting the AI boom,",which has led to ongoing rapid investment in and public attention to the field of artificial intelligence ( AI ).,Why is ChatGPT credited with the field of artificial intelligence ( AI)?,ChatGPT is credited with starting the AI boom.,ChatGPT is credited with generating the most revenue from the AI boom.,ChatGPT is credited with helping to build the fastest - growing consumer software application in history.,ChatGPT is credited with helping to build the most popular product in the world.
Contrast,ChatGPT is versatile.,"lthough a chatbot's core function is to mimic a human conversationalist,",How does ChatGPT differ from other software tools?,"Lthough a chatbot's core function is to mimic a human conversationalist, ChatGPT is versatile.",It can write and debug computer programs.,It can write and debug computer programs.,It can write and debug computer programs.
Contrast,"but due to its popularity, OpenAI now operates the service on a freemium model.","ChatGPT was released as a freely available research preview,",How is ChatGPT different from other applications?,"ChatGPT was released as a freely available research preview, but due to its popularity, OpenAI now operates the service on a freemium model.",ChatGPT is built on OpenAI's proprietary series of generative pre - trained transformer models.,"ChatGPT is built on Gemini, Claude, Llama, Ernie, and Grok.",ChatGPT is built on the same GPT foundation models.
Condition,and frames its answer as a hypothetical consideration of what might happen,"if Columbus came to the U. S. in 2015, using information about the voyages of Christopher Columbus and facts about the modern world - including modern perceptions of Columbus's actions.",Under what condition?,"Christopher Columbus came to the U. S. in 2015, using information about the voyages of Christopher Columbus and facts about the modern world - including modern perceptions of Christopher Columbus actions.","The premise of the prompt "" Tell me about when Christopher Columbus came to the U. S. in 2015 "" is truthful, but ChatGPT fails to reduce harmful and deceitful responses.",The training - data company Sama was able to train a model to detect harmful content in the future.,The water for ChatGPT needs to cool the Microsoft Azure supercomputing infrastructure was inadequate.
Enablement,"queries are filtered through the OpenAI "" Moderation endpoint "" API ( a separate GPT - based AI ).","To prevent offensive outputs from being presented to and produced by ChatGPT,",For what purpose is a separate GPT - based AI created?,To prevent offensive outputs from being presented to and produced by ChatGPT.,To train a model to detect harmful content in the future.,To collect data from ChatGPT users to improve its service.,To simulate entire chat rooms and play games.
Enablement,OpenAI collects data from ChatGPT users,to train and fine - tune the service further.,For what purpose does OpenAI collect data from ChatGPT users?,To train and fine - tune the service further.,To label harmful content and train a model to detect such content in the future.,To upvote or downvote responses they receive from ChatGPT.,To simulate entire chat rooms and play games like tic - tac - toe.
Enablement,OpenAI used outsourced Kenyan workers earning less than $ 2 per hour,to label harmful content.,For what purpose did OpenAI use outsourced workers earning less than $ 2 per hour?,To label harmful content.,To train a model to detect harmful content.,To collect data from ChatGPT users.,To collect data from users to upvote or downvote responses.
Manner-Means,"if Columbus came to the U. S. in 2015,",using information about the voyages of Christopher Columbus and facts about the modern world - including modern perceptions of Columbus's actions.,How does ChatGPT train its users in the U.S?,Using information about the voyages of Christopher Columbus and facts about the modern world - including modern perceptions of Columbus's actions.,Using a series of prompts to chat with users in the U.S.,Using a Microsoft Azure supercomputing infrastructure powered by Nvidia GPUs.,Using the text of Wikipedia to simulate entire chat rooms.
Manner-Means,""" that were used to fine - tune the model further",by using several iterations of proximal policy optimization.,How was the reward model fine tuned?,By using several iterations of proximal policy optimization.,By using supervised learning and reinforcement learning from human feedback.,By using outsourced laborers to label harmful content.,By using outsourced laborers to label harmful content.
Manner-Means,and is fine - tuned for conversational applications,using a combination of supervised learning and reinforcement learning from human feedback.,How is ChatGPT fine tuned for conversational applications?,Using a combination of supervised learning and reinforcement learning from human feedback.,Using a series of generative pre - trained transformer models.,Using a combination of reinforcement learning from human feedback.,Using a combination of reinforcement learning from human feedback.
Elaboration,"In March 2023, OpenAI added support for plugins for ChatGPT.","This includes both plugins made by OpenAI, such as web browsing and code interpretation, and external plugins from developers such as Expedia, OpenTable, Zapier, Shopify, Slack, and Wolfram.",What plugins does OpenAI use to power ChatGPT?,"This includes both plugins made by OpenAI, such as web browsing and code interpretation, and external plugins from developers such as Expedia, OpenTable, Zapier, Shopify, Slack, and Wolfram.",It uses a series of prompts to send and receive emails to ChatGPT users.,"It uses software manual pages, information about internet phenomena, and multiple programming languages.",It uses a Microsoft Azure supercomputing infrastructure built by Microsoft.
Elaboration,"In one example, whereas InstructGPT accepts the premise of the prompt",""" Tell me about when Christopher Columbus came to the U. S. in 2015 """,What is the premise of the prompt?,Tell me about when Christopher Columbus came to the U. S. in 2015.,Tell me about how much money Christopher Columbus spent on the island.,Tell me about how much money Christopher Columbus spent on the island.,Tell me about how much money Christopher Columbus spent on the island.
Elaboration,Users can upvote or downvote responses,they receive from ChatGPT,What are the users able to do in the ChatGPT service?,They receive from ChatGPT.,They can upvote or downvote responses they receive from ChatGPT.,They can fill in a text field with additional feedback.,They can upvote or downvote responses they receive from ChatGPT.
Elaboration,"The outsourced laborers were exposed to "" toxic "" and traumatic content ;","one worker described the assignment as "" torture "".","What "" did one worker describe the assignment as "" torture ""?","One worker described the assignment as "" torture.","One worker described the assignment as "" torture ""","One worker described the assignment as "" torture ""","One worker described the assignment as "" torture """
Elaboration,"In the reinforcement learning stage, human trainers first ranked responses",that the model had created in a previous conversation.,What were the first responses ranked by the human trainers?,The model had created in a previous conversation.,The content of the conversation.,The reward models that were used to fine - tune the model.,The reward models that were used to fine - tune the model further.
Elaboration,"ChatGPT was released as a freely available research preview, but due to its popularity, OpenAI now operates the service on a freemium model.",Users on its free tier can access GPT - 4o and GPT - 3. 5.,What a freemium model?,Users on its free tier can access GPT - 4o and GPT - 3. 5.,Users on its free tier can access GPT - 4o and GPT - 3. 5.,Users on its free tier can access GPT - 4o and GPT - 3. 5.,Users on its free tier can access GPT - 4o and GPT - 3. 5.
Elaboration,"In June 2024, a partnership between Apple Inc. and OpenAI was announced",in which ChatGPT is integrated into the Apple Intelligence feature of Apple operating systems.,What is the significance of the partnership between Apple Inc. and OpenAI?,ChatGPT is integrated into the Apple Intelligence feature of Apple operating systems.,ChatGPT is a chatbot and virtual assistant developed by OpenAI.,ChatGPT is a free - tier model of the Apple operating systems.,ChatGPT is a chatbot and virtual assistant developed by Apple Inc.
